Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
192,17093248.76434597,5120241.755060057,21571580.842922308,11837809783.864286,Tr,1096.2137200520465,198.8703246236551
194,207614203.0078588,22071432.4946815,21942635.4923674,6785098363.539475,Tr-ej,209.87844554646577,83.86468436702755
197,71478644.19825377,471913920.5185341,110430256.53033058,8769245650.696205,Tr,184.87235148342313,125.68475673739454
198,2755588.4339637,4513518.412075311,4568473.639018658,3600793555.570088,Tr,514.8479845181083,171.47127949604408
200,7581642141.9745,127238657.98840225,164674138.62572202,4407056208.4949045,Tr,16.80675836234848,9.609824284682007
203,4086356.832570336,3477476.461487282,815476729.1168807,7363325783.41847,Tr,0.5786292404204262,0.36479417690058946
207,20025960.51280752,9981710.878017625,12032323.87869766,13129117557.147318,Tr,363.8788415023447,197.39937524784406
210,20025960.51280752,12032323.87869766,9981710.878017625,5232152142.9013815,Tr-ej,448.8021901658917,126.83015825240201
214,28186373.55037191,9779313.5600482,16006471.11779657,4431050114.26107,Tr,1224.468983861784,96.27309019809024
218,23312092.168116774,6756574.298682636,21192147.99817783,4923306175.753876,Tr,85.0237815996609,257.0381370711547
219,23312092.168116774,21192147.99817783,6756574.298682636,7506490287.424355,Tr,271.7912654329698,49.435261847664464
224,17148153.044327695,54952156.95865545,3787057.877964612,13111933265.585669,Tr-ej,257.1506436430978,133.95564592336473
228,7282714.716329088,1892776.3214384643,136995847.43272838,12410234034.423536,Tr,43.91524158034441,18.310633298238322
231,7052494.996722685,29012412.29193643,9310933.268935269,5249179829.8099,Tr,591.0381203557293,174.33069977346665
236,2722010721.8092003,2808186460.046541,2446447227.747861,5558492063.479108,Tr-ej,142.926135058579,372.7636354963218
237,241018999.135634,13606203.366512377,72688938.41073774,8148492300.59129,Tr,232.84756174872723,183.72716795040716
238,241018999.135634,13606203.366512377,72688938.41073774,9750508440.031784,Tr,523.3142540403338,206.8126627226374
257,335721070.7301129,1236543.5243668086,2386266224.902536,8543687148.988687,Tr,304.12986282560115,120.86178062212585
258,52226374.20092477,3911679.9829600262,96432743.88916013,6384571589.979288,Tr,568.0426020831246,218.40980598955557
263,58007153.84807892,11521864.579669608,977992417.4281884,7789324218.191018,Tr,71.38009926801223,27.267812186446662
264,58007153.84807892,11521864.579669608,977992417.4281884,7323203142.430164,Tr,105.85132150595058,42.10221644613212
271,190179353.163355,915144592.41808,4516937980.932333,6920847221.75677,Tr,218.64604007829092,93.77164542896581
272,16440007.223711573,439656448.58284736,57742552.84621479,6954350798.511241,Tr,221.0160937681332,90.91177784173043
276,56205789.32491686,4933819.809483506,119645030.97765791,9514060930.383036,Tr,1403.3794940145622,480.2879097911538
280,38697744.150121905,2378896.2531052893,72205559.14295696,12443214018.510336,Tr,342.3248222718366,151.12012759760316
281,31499874.293103337,24162431.236770723,14215241.363452712,6409450613.787072,Tr-ej,483.6800780128701,71.62585024401362
284,5427503.568823906,14690810.449174734,4269599.326215437,5128873339.347623,Tr,849.8780547578505,225.40739352421318
