M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape,Phi_DM,Phi_star,M_halo,M_star,rhalf,sigma,rbulge
72277838.82782783,2217850.299054128,0.030685066612703277,12079040111.57561,0.13122215609822996,8750666050.203156,Yes,212494537707621600,9223372040421932918,0.17374696155414288,1975.8769077890408,6.4312783754558716,23.861172373011108,1596164382353.8906,113061503930.52534,39.99094955392681,1.629993251078768,4.629506258287198
66747803.92031134,1324030.3437226037,0.019836313196211413,28101636385.94842,0,8750666050.203156,No,9223372038910101359,9223372039199076015,0.16190382495451977,1561.674196310017,5.8929994552463345,13.030241008976759,2068950784900.6492,65203647721.89748,56.57117093734014,0.9500728087014398,4.5805826880265785
14888621060.226025,11296973.93737102,0.0007587656299178803,13541949606.840744,0.016277057423708743,8751120156.498196,Yes,9223372036828940259,9223372065996124199,0.008355400406902745,4057.284535361161,68.7475115138232,58.980329237566245,128778575960485.89,1617544889450.0732,301.83392058897715,6.293363547695922,17.154546648761716
8909727.889628388,5604700.247998025,0.6290540314393136,8819834224.908096,0.4778097050262585,8755888108.611032,Yes,9223372039140259170,9223372046424560528,0.5767031006819947,1055.7258421378085,4.66478998269499,3.983235167334809,1576048502359.8782,39008837120.49108,54.440097185049844,0.2551973411896939,10.202170617434634
42960261.42236,23955248.40724894,0.5576141209136285,8996851306.04764,0.45441654728106445,8756293532.749342,Yes,9223372039721847580,9223372041211039794,0.5765571277923315,349.8664593613169,0.21463704992788105,0.7351347249396327,11272922115.908428,4064734760.256463,8.462783388803908,0.08996681643118788,3.015473958793443
795387520.8287067,3599925.915837267,0.004526002510180872,18956709829.729145,0,8756698954.674906,No,9223372037887881301,9223372065019545413,0.007612740381056724,2379.119617136214,7.123695140738362,36.79477416460388,459659702954.1789,81257522106.17065,10.397107050092547,3.98608349424336,1.3605763165183307
22848048.597940303,9024154.156954398,0.3949638901664409,10155972703.922735,0.31634649106720153,8757898990.556166,Yes,9223372038294625889,9223372045921503935,0.3884059128270711,1088.9559597535635,4.5756758373893405,4.625329261940738,1479157713792.2021,34437833535.11456,52.08835501129929,0.33118594658738676,6.940162610516062
3198709.7633144236,1386337.136121007,0.43340510352665407,8762272048.498026,0.4855666525769856,8758709814.542793,Yes,9223372041958268009,9223372044447227326,0.15536963909039,1467.5936295648962,7.57346760113006,9.138449591724466,2307166365737.265,79205734761.09315,49.086893575677834,0.674385578051727,7.838881090001836
46261980.38686367,41422507.57664971,0.8953898477811781,12213337918.00667,0.1198707468278876,8758709814.542793,Yes,9223372039615836916,9223372040283826241,0.23279128642734512,1425.6271972862387,4.799741240005,10.970073202407443,1556446092436.09,79078063206.14244,52.251368308441705,0.8073549367955378,6.537282342653453
45820066.08564929,10840333.892893173,0.23658485940700844,12794315086.086254,0.07271638148759249,8763542137.964386,Yes,9223372039368694093,9223372048633093663,0.12836734385034101,1858.6976232583436,5.603185063056634,21.20282192062476,1097606870409.2706,86997557770.12218,31.564088990526013,1.44518967860665,4.017796476272554
16246030.70203457,13073449.547789378,0.8047165358460221,41336032730.115616,0,8765406873.662317,No,9223372037322073639,9223372046729428479,0.3003684937060744,1574.8871739458377,4.803286961740455,14.441518765808958,1507214762942.4844,62082734974.947845,50.561274761779785,0.9454439243740674,4.382690367571205
26561719.16521482,2550819.6607146235,0.0960336808340016,41491559771.42337,0,8765552807.42707,No,9223372040490906933,9223372046593521727,0.5595902407242026,889.1108458264514,3.3801856489829802,2.7535697780282287,395366444784.23773,18739764663.306152,18.846931968283283,0.2131218962537736,5.86869831260192
98683212.34855774,1749878.3904256036,0.017732280382653943,9810359458.36285,0.3550147050573418,8765585237.111567,Yes,9223372041726517829,9223372045923775424,0.32131949474530114,1330.9260424206127,5.501158409085151,8.24313713671699,632003896912.0519,69442617134.84097,18.511730294833967,0.6317117332966125,7.33690439980236
96959434.16653934,8039446.402988797,0.0829155664128577,10592440554.573526,0.2701471357752859,8771406121.272198,Yes,9223372038747859244,9223372043333376792,0.12920907561203682,1319.115629810805,2.9393213882844007,10.56212734195953,159342765956.27045,52221592393.17328,8.735075956013063,0.8519224975202405,4.091247444741597
