M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape
3207130.5596068436,1139619.1650179017,0.35533918680180127,44609656574.725136,0,10704070964.940228,No,7638551083317831425,9223372043193089625,0.45923420424245087,1024.607906928981
70005643.86197591,35438772.09317565,0.5062273573691747,10942479850.5716,0.23502903595037974,10709082506.214201,Yes,9223372040783232350,9223372060222761819,0.18986553795353994,994.3079512487424
1996097929.9100516,1222231010.7359202,0.6123101439171357,11278119296.633503,0.20283219480836184,10714325999.771929,Yes,9223372058976364616,9223372069554066155,0.031503375807840704,2588.5409137024035
27295592.272115808,22413376.46554403,0.8211353775400846,21585389386.92936,0,10721910585.34503,No,9223372037224658050,9223372037319672443,0.3066491319946373,1220.2166855852631
84481745.30619045,1857559.5005190673,0.021987702713605676,33588358042.19915,0,10722763552.601778,No,9223372040618481303,9223372045091715156,0.15859185740899845,1578.73704591053
3017967.950144226,2399401.5310922307,0.7950387713618912,85605129608.60063,0,10730516828.772335,No,9223372047932199077,9223372058365210748,0.6406554548045885,778.8502563724122
181670514.81863633,2864831.5804689117,0.01576938108712305,18671120873.758503,0,10732563401.550993,No,9223372043587065316,9223372056594491959,0.07776038813358914,1518.55137960933
789181976.1747646,3735368.6730667884,0.00473321589422563,24096265742.611763,0,10737136740.453241,No,9223372048383849351,9223372063021646250,0.02432079969358956,2711.1413833963716
5941887.107970239,2571097.7334053083,0.43270726735224035,13159407510.939798,0.044594639283345554,10737818813.332487,Yes,9223372038679469897,9223372044318716684,0.43514971468724506,908.8976484326623
13026474.852788828,7120755.98791605,0.5466372190778515,11825801472.266836,0.15311953184936686,10739182918.401375,Yes,9223372039471816316,9223372045743673084,0.423183853081812,1005.5054828614044
2362395.468464832,1080914.9965982288,0.457550402135103,162309026206.0321,0,10740779472.464466,No,9223372039581299588,9223372047179866812,0.5803382978877871,941.0796792747152
4462752228.69352,1177768.3542920793,0.0002639107649130845,11526722959.775951,0.17985128470439138,10742034962.768297,Yes,9223372044256729360,9223372060901338611,0.01103165338051893,2868.785652379635
2390725.1288415245,1227401.3512588043,0.5134012841758882,20409219624.30254,0,10750140293.387768,No,9223372039304751365,9223372051038839715,0.5685962838243073,658.5090876229533
44425025.566648655,13246736.187176237,0.29818184724064634,13952387425.929451,0,10772075504.184227,No,9223372040181158344,9223372040308986911,0.3268437006672699,1250.0259348325508
1579076.8089665268,1109787.109619728,0.7028075539568344,40882828225.60616,0,10774351870.90197,No,9223372039470100069,9223372048431152820,0.5746762462544166,918.4589912381088
13510251.729838032,7731370.2215991495,0.5722595238195342,12286278906.03407,0.11377894593599705,10778935115.399473,Yes,9223372039987407801,9223372048775183393,0.43017729638888375,1018.3509867348074
8283180.884545464,3191581.1971444488,0.3853086443034481,27250302559.43481,0,10785561152.197586,No,9223372039904251231,9223372044953808657,0.49939250392653844,1313.21112129285
2403619.029403949,1697550.1706320639,0.7062475999172895,1130897857964.0342,0,10788997515.47563,No,9223372042376937844,9223372042584645870,0.5422101046546607,679.9732238100213
78148113.66648497,38816604.83192446,0.4967055890508534,12359233806.47892,0.10773673140990275,10792309716.709345,Yes,9223372036879256486,9223372047217274800,0.21181551664121862,2137.942286580418
8621120.36206152,1301957.3491915108,0.1510195072697235,20351480460.340363,0,10794476401.279593,No,9223372048158332183,9223372048379065402,0.29562135017771607,1187.6463536423826
8652858101.882027,55758025.74380697,0.006443885371433446,12166502726.35632,0.12380937726573762,10794770440.596941,Yes,9223372038790376508,9223372068874882860,0.01342239001314705,4263.772772910585
27343589.390949506,2195371.17505598,0.08028833170610107,619665423784.31,0,10799180722.595058,No,9223372045729431929,9223372051646270574,0.16663219327871148,1327.7561281546143
60892155.42260057,2295384.1064008656,0.037695891867689034,27957748003.201122,0,10804209287.345491,No,9223372039924693115,9223372040152055169,0.026568810105852648,1282.623937209575
1083275091.6130688,31646147.685452815,0.02921339919145523,12329386060.598375,0.1102026711400964,10804317586.639305,Yes,9223372039831995868,9223372062122011720,0.02647588979644173,3401.691472340511
10308332691.714018,231458295.39343438,0.022453514289414018,13673135376.727283,0.006822255611368858,10817372836.251095,Yes,9223372063202000770,9223372069047129925,0.004909853080221783,4064.4787343104695
5410084.711425307,1934937.1042246304,0.35765375357955603,10832121058.338669,0.2459252131373573,10826542515.010408,Yes,9223372046901525677,9223372055652514045,0.5618973586814412,763.0525552457997
248448991.453942,2756298.450514494,0.011094021490626427,21559768732.379227,0,10827686616.684668,No,9223372039079430663,9223372051021180511,0.09669725374192614,2296.179537387395
13271984.375722483,8294257.142737855,0.6249447639427577,12672845647.32539,0.08232340915268807,10829294477.628992,Yes,9223372040130303265,9223372041769646072,0.11181296982047366,1597.841525850983
4386936.661399703,2582955.009803573,0.5887832921160644,10835411300.463686,0.24559805851203145,10831134147.367443,Yes,9223372040967117971,9223372050956340028,0.6074076336538076,656.048801467819
50570786.82701397,21013507.833997987,0.4155266143253473,13010088503.41831,0.055962426519152605,10831180524.296585,Yes,9223372040757958836,9223372044031771450,0.22822633159068167,1751.63722370766
199690734.87779573,1478396.4620638946,0.007403430424394128,23806847710.929684,0,10838012693.49038,No,9223372048580275846,9223372049320508415,0.12026980371618595,2260.191927048643
41925909.311162874,2890548.379938681,0.06894420246167603,46031793220.00055,0,10839388233.975136,No,9223372039481218493,9223372042699495054,0.216139706390705,1690.9494112536297
5854256.865271207,1411423.4408936715,0.24109352790215932,150202262141.0302,0,10839851886.632328,No,9223372038527302950,9223372043335281697,0.4757003416092702,817.4580436777115
3349389.4757239902,3133998.854875031,0.9356925725090836,21936415994.623554,0,10843746316.656567,No,9223372038070859507,9223372050192258099,0.5214591217703636,1015.2677333737121
221192876.10205033,142332757.83842885,0.6434780375691743,13102579574.083244,0.04889961131102526,10852352643.624327,Yes,9223372048181136454,9223372065156460106,0.04574199107912375,2586.5228391015444
1845318815.183374,5963684.616079625,0.0032317909333661665,20174050920.695885,0,10855674065.726585,No,4154714071628897243,9223372062244008616,0.02029271758710956,3176.275857668858
39408616.631976746,5772675.963584942,0.1464825831744854,27090729409.88317,0,10860493406.25176,No,9223372038984877728,9223372048699916655,0.32239250325307584,1559.9994699992894
8715467.361331068,1096940.0701496562,0.1258613020589783,43861846741.74483,0,10861420123.282104,No,9223372042040386165,9223372045153713964,0.45268344257490645,1216.3289035226576
3742610.84188489,2543179.8826280767,0.679520257400648,32049528276.30131,0,10861868027.352448,No,9223372038666242130,9223372050431463387,0.585206916726884,750.0741988282543
606802864.8384355,159489597.7718224,0.26283593406284816,20402132376.083393,0,10862794706.475422,No,9223372046390918884,9223372047755545950,0.02416193064993394,2499.5105913929533
