M1,M2,M3,qin,qout,t_triple_form,z_form,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
10621728.525324311,3189243.614437141,2527218.710566221,0.30025655493202924,0.18298630139803265,11296320283.53641,0.20112533681090608,2838031302.203337,3413487220.0149856,2.893497334674229,No,9223372037320575147,9223372037702511946,9223372037702511946,9223372039641929459,0.7719267048688349,855.1117461154204
67093954.576120466,14238015.307436295,2153366.595910989,0.21221010741411528,0.026476262643016894,4120161250.646828,1.5879751992796698,2842587434.258855,4035123220.760255,1.4146816274405318,Yes,9223372036962167341,9223372037694848425,9223372037694848425,9223372038334125642,0.33097983064756425,1149.1935594218405
19977757.525595695,9791674.412797619,4418475.596585986,0.4901288045093365,0.14842324185862366,2996649074.468757,2.2222741504206445,2856815442.5520797,2902364670.137178,0.6046172838914711,Yes,9223372037113260928,9223372039639311902,9223372037719628815,9223372039639311902,0.8329735229951175,1360.2277725698327
15305472.447933286,10719616.208191201,11605319.92504997,0.7003780017021743,0.44592816102929544,4112838362.458518,1.591182783042924,2864344176.5127344,3661586919.080913,0.29325863471281716,No,9223372037250340906,9223372038166559218,9223372036698987781,9223372038166559218,0.7002754179268976,1134.6669592246694
43249999.50069522,6541189.153546611,3276612.7792675747,0.1512413694580844,0.06580708088776331,4987526186.576766,1.262777237927027,2867140724.6030145,4298595705.40209,0.11001740333056305,No,9223372037868275794,9223372038324045848,9223372037629093557,9223372038324045848,0.8135966418529393,1013.1889072590294
2707201.853060087,1906514.0946633155,1232257.8644662374,0.7042378803443438,0.2670857674006316,3245273433.9198694,2.051439705451508,2887047067.594976,3193837289.5724154,0.35293332318938964,Yes,9223372038147379991,9223372038578482015,9223372038578482015,9223372041549276374,0.9069210167943391,809.2633945601038
19809742.168112144,3696349.769104322,85490252.81493866,0.18659252289786776,3.6369402894908536,7590785853.680554,0.6619981713579196,2901490395.8088865,6888525482.802139,0.648524855647772,No,9223372038512456188,9223372039055895225,9223372039055895225,9223372043193277722,0.5972420507158893,797.1517810623866
9464698.27927284,8302329.877873287,2525940.680774791,0.8771890696246414,0.14217012875948112,9717044205.700026,0.3657957226819018,2913637896.1687703,3691391760.8249726,0.7246875433831785,No,9223372038395466495,9223372038594970032,9223372038124665306,9223372038594970032,0.698991240458018,1028.7922282614595
146730841.79459444,1402751.2638238654,40005882.554504916,0.009560030097745564,0.270066240401852,3346318308.834722,1.9879766183255552,2934083730.763441,3054071900.726845,4.15295731954121,Yes,9223372036755205221,9223372039928649144,9223372037717559422,9223372039928649144,0.24075783201952272,1680.4505523099951
78466882.0393073,4227609.605223727,10814432.489120197,0.05387762958525539,0.1307757297258312,5043390293.898037,1.2449341674417032,2934564610.4590883,5012436660.6860485,47.806602008642,No,9223372036629361273,9223372039995176083,9223372037355659623,9223372039995176083,0.5768111678697598,1156.1337436817425
23563212.27991549,9734859.912615348,28939138.583894458,0.41313806441038703,0.8690935143802667,5702718401.720761,1.0555843646319367,2939657596.3406253,5585278587.213784,1.4319095040541734,No,8985968101382142433,9223372038009604292,9223372038009604292,9223372048331472952,0.7819941975655338,761.8498642993881
78868294.70283875,14775078.164870888,8743087.005156964,0.18733862853939812,0.09336578486454516,8083408010.233602,0.5831494480515859,2944285806.800237,4882326451.244951,0.05862292156285967,No,9223372038167949218,9223372039297208490,9223372039297208490,9223372039896074718,0.8653382009146289,640.5086114060543
38849008.39116371,28416113.588056352,8657501.61012422,0.7314501647491126,0.1287071420579412,3189147750.482412,2.088100145896328,2946678530.3122654,3172232260.312682,37.42585026302732,Yes,9223372037657346800,9223372037707048790,9223372037688323728,9223372037707048790,0.7495986395516088,1316.4208967890283
113227535.7670304,29649094.74930687,29297980.948665895,0.26185410243592083,0.205057893952194,4102058430.764704,1.595921376321646,2964264793.2068005,2967442090.1740484,0.5716589247903137,Yes,9223372037527072874,9223372038589825055,9223372036564286983,9223372038589825055,0.530294229320976,2222.4118130483384
70980339.3288061,13326457.89926863,4365778.168186033,0.18774857975158096,0.05178441491942004,7892047876.924789,0.6128975352865405,2977575753.2638865,3654885002.484231,1.2254589938666074,Yes,9223372037993206544,9223372038375451849,9223372038375451849,9223372038525483582,0.4127124470605593,1458.940205830443
17098065.54739233,16782078.213479675,88204930.09524561,0.9815191178770017,2.6034402544983593,4036199161.386932,1.6253132484729658,2983882004.6836786,3923163509.154975,32.10532639933664,No,9223372038599242501,9223372038660947078,9223372037782994148,9223372038660947078,0.7140780041886374,1098.2942444704152
43446551.33914514,12143200.482123587,11602735.464805078,0.2794974539482636,0.20872076389385594,5530921688.186333,1.1014809458399983,2987278086.196001,2993547239.0783567,0.3947435928355028,Yes,9223372036872646543,9223372039005981358,9223372037387315691,9223372039005981358,0.5665871152774045,2075.97295635384
22502296.442289107,7869797.544418412,2105468.879394406,0.34973308455880586,0.0693224800475026,11396923412.660448,0.19176104951301284,2989779635.2123423,7529493958.007775,0.04964978275848997,Yes,9223372037383469339,9223372037926588832,9223372037926588832,9223372039701921553,0.6398423557641588,923.8825479061237
49948749.85820474,10011721.846443541,4445513.026840233,0.2004398883828918,0.07414072805727455,8098910187.294653,0.5807858094913484,2993348163.833557,5232657925.297459,0.020066841728386395,Yes,9223372037412788672,9223372039301505405,9223372039301505405,9223372039662570698,0.7611095041971395,1022.3071289081329
17052586.865873195,16440597.874815915,31545467.338550184,0.9641116625957769,0.9418473514173543,10222231725.719881,0.3091504273310773,3002680083.1141295,5659018618.275428,0.11468357645006869,No,9223372037160605395,9223372037977450717,9223372037977450717,9223372040681778269,0.6687681781713644,1137.8724747131903
210530261.69847402,161880519.35864505,40646601.489941694,0.7689180550703624,0.10914453489923928,3809445315.0489116,1.7327262780503787,3008459525.18128,3465940953.429756,0.5495490918144489,No,9223372037922768606,9223372039304168675,9223372037417124893,9223372039304168675,0.6409696084181925,708.7401920976795
42007278.32698979,5227282.731151911,171123928.97313777,0.12443754842820579,3.6228542224092832,5292766369.297447,1.1689487143640844,3013515402.604886,4645217727.127981,0.20419776977749288,Yes,9223372038467628293,9223372039052556226,9223372039052556226,9223372039914557930,0.7084789567430577,857.1083516427838
18704173.99630703,13761758.798692886,5787756.715123812,0.7357587029189324,0.17827169025666145,3596013762.2194643,1.8437249265825657,3014370139.7128887,3284552279.011068,10.637379551021422,No,9223372037675847550,9223372037717046307,9223372037717046307,9223372037785316528,0.6489080349016978,1139.1161843092655
16048063.19891314,12699228.912956698,24633882.22649813,0.7913247072591761,0.8569113964068543,4879467113.018803,1.2982085798265575,3016478765.752517,3544237991.1206164,21.086079753697213,No,9223372036872180120,9223372038660350590,9223372038416261970,9223372038660350590,0.6025893469422345,1182.3911838728438
13610548.962594554,12976588.795138702,3516158.1631745556,0.9534214109072202,0.13225034583317757,9552415853.112104,0.3851882872173902,3016948985.5726466,4985708436.856761,0.23498256000055706,No,9223372037366554673,9223372037756691082,9223372037756691082,9223372039108593429,0.6408712755550112,943.6014799405194
